"altersklasse_covid19","nachweismethode","geoRegion","datum","entries","entries_pos","entries_neg","sumTotal","anteil_pos","anteil_pos_diff","anteil_pos_all","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"20 - 29","all","CH",202028,9979,166,9813,54634,1.7,0.5,1.2,0.202,20.2,1045350,954.61,5226.38,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-8922,-853.49,-47.2,-6.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202028,9764,149,9615,51972,1.5,0.2,0.9,0.198,19.8,1229176,794.35,4228.2,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-1747,-142.13,-15.2,3.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202028,7544,113,7431,42890,1.5,0.4,0.9,0.153,15.3,1198325,629.55,3579.16,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-1764,-147.2,-19,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202028,5874,110,5764,32383,1.9,0.5,1.2,0.119,11.9,1292837,454.35,2504.8,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-976,-75.49,-14.2,2.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202028,3715,100,3615,22072,2.7,1,1.2,0.075,7.5,947959,391.89,2328.37,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-436,-46,-10.5,1.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202028,2498,40,2458,17029,1.6,1,0.8,0.051,5.1,721518,346.21,2360.16,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-356,-49.34,-12.5,0.999999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202028,2101,21,2080,14500,1,0.2,0.9,0.043,4.3,453670,463.11,3196.16,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-71,-15.65,-3.3,1.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202028,7,0,7,81,0,0,0,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-28",-25,NA,-78.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202029,1491,21,1470,33799,1.4,0.6,0.3,0.035,3.5,873043,170.78,3871.4,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-517,-59.22,-25.7,-0.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202029,3757,52,3705,48494,1.4,0.6,0.5,0.088,8.8,844155,445.06,5744.68,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-2185,-258.84,-36.8,-3.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202029,8914,182,8732,63548,2,0.3,1.3,0.209,20.9,1045350,852.73,6079.11,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-1065,-101.88,-10.7,0.699999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202029,8834,176,8658,60806,2,0.5,1.1,0.208,20.8,1229176,718.69,4946.89,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-930,-75.66,-9.5,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202029,6403,140,6263,49293,2.2,0.7,1.1,0.15,15,1198325,534.33,4113.49,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-1141,-95.22,-15.1,-0.299999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202029,5310,113,5197,37693,2.1,0.2,1.3,0.125,12.5,1292837,410.72,2915.53,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-564,-43.63,-9.6,0.600000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202029,3504,95,3409,25576,2.7,0,1.4,0.082,8.2,947959,369.64,2698.01,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-211,-22.25,-5.7,0.700000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202029,2380,36,2344,19409,1.5,-0.1,0.9,0.056,5.6,721518,329.86,2690.02,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-118,-16.35,-4.7,0.500000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202029,1963,26,1937,16463,1.3,0.3,0.9,0.046,4.6,453670,432.69,3628.85,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",-138,-30.42,-6.6,0.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202029,11,0,11,92,0,0,0,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-29",4,NA,57.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202030,1160,16,1144,34959,1.4,0,0.3,0.033,3.3,873043,132.87,4004.27,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-30",-331,-37.91,-22.2,-0.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202030,2783,73,2710,51277,2.6,1.2,0.6,0.078,7.8,844155,329.68,6074.36,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-30",-974,-115.38,-25.9,-0.999999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202030,7245,245,7000,70793,3.4,1.4,1.5,0.204,20.4,1045350,693.07,6772.18,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-30",-1669,-159.66,-18.7,-0.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202030,7257,192,7065,68063,2.6,0.6,1.2,0.204,20.4,1229176,590.4,5537.29,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-30",-1577,-128.29,-17.9,-0.400000000000002,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202030,5395,131,5264,54688,2.4,0.2,1.2,0.152,15.2,1198325,450.21,4563.7,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-30",-1008,-84.12,-15.7,0.199999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202030,4602,119,4483,42295,2.6,0.5,1.5,0.13,13,1292837,355.96,3271.49,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-30",-708,-54.76,-13.3,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202030,2956,89,2867,28532,3,0.3,1.6,0.083,8.3,947959,311.83,3009.83,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-30",-548,-57.81,-15.6,0.0999999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
