"altersklasse_covid19","nachweismethode","geoRegion","datum","entries","entries_pos","entries_neg","sumTotal","anteil_pos","anteil_pos_diff","anteil_pos_all","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"80+","all","NW",202023,7,0,7,14,0,0,0,0.081,8.1,2187,320.07,640.15,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,0,0,0.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","OW",202023,3,0,3,8,0,0,0,0.044,4.4,1937,154.88,413.01,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-2,-103.25,-40,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","SG",202023,61,0,61,118,0,0,0,0.068,6.8,25881,235.69,455.93,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",4,15.45,7,0.800000000000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","SH",202023,17,0,17,37,0,0,0,0.072,7.2,5190,327.55,712.91,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-3,-57.81,-15,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","SO",202023,83,2,81,168,2.4,-3.5,4.2,0.125,12.5,15229,545.01,1103.16,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-2,-13.14,-2.4,0.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","SZ",202023,22,0,22,48,0,0,0,0.054,5.4,7600,289.47,631.58,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-4,-52.64,-15.4,-2.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","TG",202023,46,0,46,81,0,0,0,0.097,9.7,13053,352.41,620.55,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",11,84.27,31.4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","TI",202023,165,3,162,389,1.8,0,1.8,0.171,17.1,24908,662.44,1561.75,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-59,-236.87,-26.3,-0.299999999999997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","UR",202023,2,0,2,3,0,0,0,0.057,5.7,2031,98.47,147.71,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",1,49.23,100,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","VD",202023,353,4,349,749,1.1,-0.7,1.5,0.078,7.8,38359,920.25,1952.61,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-43,-112.1,-10.9,-2.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","VS",202023,68,0,68,136,0,-2.9,1.5,0.093,9.3,18035,377.04,754.09,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,0,0,1.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","ZG",202023,8,0,8,33,0,0,0,0.032,3.2,5847,136.82,564.39,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-17,-290.75,-68,-6.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","ZH",202023,282,1,281,667,0.4,0.4,0.1,0.057,5.7,75487,373.57,883.6,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-103,-136.45,-26.8,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","AG",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","AI",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","AR",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","BE",202023,3,0,3,4,0,0,0,0.001,0.1,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",2,NA,200,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","BL",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","BS",202023,0,0,NA,2,NA,NA,0,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",-2,NA,-100,-0.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","FL",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","FR",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","GE",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","GL",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","GR",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","JU",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","LU",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","NE",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","NW",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","OW",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","SG",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","SH",202023,2,0,2,2,0,NA,0,0.009,0.9,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",2,NA,NA,0.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","SO",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","SZ",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","TG",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","TI",202023,1,0,1,1,0,NA,0,0.001,0.1,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",1,NA,NA,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","UR",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","VD",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","VS",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","ZG",202023,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","ZH",202023,1,0,1,2,0,0,0,0,0,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-23",0,NA,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","AG",202024,429,1,428,879,0.2,0.2,0.2,0.185,18.5,71486,600.12,1229.61,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",177,247.6,70.2,3.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","AI",202024,2,0,2,2,0,NA,0,0.087,8.7,1763,113.44,113.44,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",2,113.44,NA,8.7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","AR",202024,15,0,15,27,0,0,0,0.122,12.2,5944,252.36,454.24,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",6,100.95,66.7,2.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","BE",202024,810,5,805,1453,0.6,0.6,0.3,0.208,20.8,101287,799.71,1434.54,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",439,433.42,118.3,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","BL",202024,373,0,373,626,0,0,0,0.211,21.1,27527,1355.03,2274.13,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",205,744.72,122,6.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","BS",202024,305,0,305,601,0,0,0.2,0.236,23.6,18565,1642.88,3237.27,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",117,630.22,62.2,5.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","FL",202024,17,0,17,40,0,0,0,0.056,5.6,4056,419.13,986.19,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",4,98.62,30.8,2.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","FR",202024,288,0,288,517,0,-0.7,0.2,0.263,26.3,35588,809.26,1452.74,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",151,424.3,110.2,9.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","GE",202024,381,1,380,725,0.3,-0.3,0.3,0.158,15.8,52912,720.06,1370.2,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",225,425.23,144.2,8.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","GL",202024,10,0,10,22,0,0,0,0.141,14.1,3943,253.61,557.95,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",4,101.44,66.7,5.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","GR",202024,103,0,103,170,0,0,0,0.194,19.4,17435,590.77,975.05,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",66,378.55,178.4,9.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","JU",202024,22,0,22,68,0,0,0,0.083,8.3,7259,303.07,936.77,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",0,0,0,0.800000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","LU",202024,195,1,194,463,0.5,0.5,0.2,0.172,17.2,43077,452.68,1074.82,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",44,102.14,29.1,-2.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","NE",202024,259,1,258,388,0.4,0.4,0.5,0.242,24.2,17682,1464.77,2194.32,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",193,1091.51,292.4,14.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","NW",202024,20,0,20,56,0,0,0,0.194,19.4,3889,514.27,1439.96,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",2,51.43,11.1,-1.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","OW",202024,15,0,15,33,0,0,0,0.149,14.9,3806,394.11,867.05,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",2,52.54,15.4,-4.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","SG",202024,122,0,122,218,0,0,0,0.093,9.3,52827,230.94,412.67,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",60,113.58,96.8,2.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","SH",202024,41,0,41,95,0,0,0,0.147,14.7,7782,526.86,1220.77,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",9,115.65,28.1,1.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","SO",202024,133,0,133,241,0,0,0,0.163,16.3,26649,499.08,904.35,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",81,303.95,155.8,8.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","SZ",202024,89,0,89,235,0,0,0,0.179,17.9,15589,570.92,1507.47,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",5,32.08,6,-2.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","TG",202024,135,0,135,187,0,0,0,0.191,19.1,29232,461.82,639.71,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",108,369.46,400,13.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","TI",202024,55,0,55,160,0,0,0,0.059,5.9,29500,186.44,542.37,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",3,10.17,5.8,0.499999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","UR",202024,10,0,10,19,0,0,0,0.169,16.9,3563,280.66,533.26,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",3,84.2,42.9,-3.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","VD",202024,1838,4,1834,3138,0.2,0.1,0.2,0.314,31.4,86781,2117.98,3616,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",1032,1189.21,128,13.7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","VS",202024,250,0,250,506,0,0,0.2,0.253,25.3,33397,748.57,1515.11,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",120,359.31,92.3,7.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","ZG",202024,60,2,58,135,3.3,3.3,1.5,0.119,11.9,13206,454.34,1022.26,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",16,121.16,36.4,-5.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","ZH",202024,1431,5,1426,2719,0.3,0,0.3,0.189,18.9,162354,881.41,1674.74,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",664,408.99,86.6,3.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","AG",202024,320,0,320,721,0,-0.5,0.3,0.138,13.8,67323,475.32,1070.96,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",115,170.82,56.1,1.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","AI",202024,5,0,5,12,0,0,0,0.217,21.7,1642,304.51,730.82,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",-1,-60.9,-16.7,-1.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","AR",202024,9,0,9,23,0,0,0,0.073,7.3,5254,171.3,437.76,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",1,19.04,12.5,-1.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","BE",202024,559,5,554,1075,0.9,-0.2,0.7,0.144,14.4,96454,579.55,1114.52,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",280,290.29,100.4,2.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","BL",202024,275,1,274,497,0.4,0.4,0.2,0.156,15.6,27931,984.57,1779.38,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",138,494.08,100.7,3.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","BS",202024,117,0,117,276,0,-1.1,0.7,0.09,9,15404,759.54,1791.74,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",29,188.26,33,0.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","FL",202024,23,0,23,81,0,0,0,0.076,7.6,3920,586.73,2066.33,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",-2,-51.03,-8,0.999999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","FR",202024,121,0,121,285,0,0,0,0.11,11,35792,338.06,796.27,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",24,67.05,24.7,-0.899999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","GE",202024,221,0,221,583,0,-1.1,0.9,0.092,9.2,53165,415.69,1096.59,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",40,75.24,22.1,0.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","GL",202024,17,0,17,24,0,0,0,0.239,23.9,3848,441.79,623.7,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",12,311.85,240,16.7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","GR",202024,93,1,92,212,1.1,1.1,0.9,0.175,17.5,17946,518.22,1181.32,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",24,133.73,34.8,-0.699999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","JU",202024,20,0,20,58,0,0,1.7,0.075,7.5,8058,248.2,719.78,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",7,86.87,53.8,3.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","LU",202024,161,0,161,335,0,-1.1,0.3,0.142,14.2,40737,395.22,822.35,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",68,166.93,73.1,2.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","NE",202024,117,0,117,249,0,0,0,0.109,10.9,19307,606,1289.69,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",34,176.1,41,-1.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","NW",202024,12,0,12,35,0,0,0,0.117,11.7,3909,306.98,895.37,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",-1,-25.59,-7.7,-3.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","OW",202024,15,0,15,36,0,0,0,0.149,14.9,3784,396.41,951.37,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",5,132.14,50,0.199999999999999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","SG",202024,143,1,142,308,0.7,0.7,0.3,0.109,10.9,51757,276.29,595.09,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",61,117.86,74.4,1.7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","SH",202024,44,0,44,83,0,0,0,0.158,15.8,7621,577.35,1089.1,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",22,288.67,100,6.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","SO",202024,115,1,114,224,0.9,0.9,0.4,0.141,14.1,25703,447.42,871.49,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",61,237.33,113,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","SZ",202024,66,0,66,158,0,0,0,0.133,13.3,15355,429.83,1028.98,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",5,32.57,8.2,-1.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","TG",202024,79,0,79,143,0,0,0.7,0.112,11.2,27381,288.52,522.26,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",44,160.69,125.7,3.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","TI",202024,47,0,47,167,0,0,0,0.05,5,33625,139.78,496.65,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",0,0,0,0.0999999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","UR",202024,8,0,8,16,0,0,0,0.136,13.6,3794,210.86,421.72,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",5,131.79,166.7,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","VD",202024,814,2,812,1532,0.2,0.2,0.3,0.139,13.9,89543,909.06,1710.91,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",386,431.08,90.2,4.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","VS",202024,97,1,96,266,1,-1.4,1.1,0.098,9.8,34386,282.09,773.57,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",12,34.9,14.1,-1.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","ZG",202024,70,1,69,117,1.4,-2.3,1.7,0.139,13.9,12695,551.4,921.62,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",43,338.72,159.3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","ZH",202024,814,1,813,1715,0.1,-1.2,1,0.108,10.8,141741,574.29,1209.95,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",339,239.17,71.4,1.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","AG",202024,275,3,272,678,1.1,0.6,1.2,0.118,11.8,81244,338.49,834.52,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",65,80.01,31,-0.800000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","AI",202024,1,0,1,7,0,0,0,0.043,4.3,2104,47.53,332.7,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",-2,-95.06,-66.7,-7.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","AR",202024,15,0,15,37,0,0,0,0.122,12.2,6318,237.42,585.63,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",2,31.66,15.4,-1.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","BE",202024,429,3,426,1071,0.7,0.4,0.7,0.11,11,119810,358.07,893.92,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",126,105.17,41.6,-1.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","BL",202024,164,1,163,381,0.6,0.6,0.8,0.093,9.3,30548,536.86,1247.22,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",59,193.14,56.2,-0.0999999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","BS",202024,119,0,119,331,0,-2,0.6,0.092,9.2,23685,502.43,1397.51,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",17,71.78,16.7,-0.800000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","FL",202024,26,0,26,106,0,0,0,0.086,8.6,4509,576.62,2350.85,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",-11,-243.96,-29.7,-1.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","FR",202024,124,0,124,357,0,-2.8,1.4,0.113,11.3,42682,290.52,836.42,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-24",17,39.83,15.9,-1.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
